Nodo_2 13:14:41.549816 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:41.550316 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:41.550316 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:41.664892 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:41.664892 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:41.665392 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:41.665392 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:41.779968 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:41.779968 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:41.780469 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:41.780469 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:41.895091 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:41.895091 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:41.895591 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:41.895591 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:42.011167 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:42.011167 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:42.011667 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:42.011667 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:42.127244 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:42.127244 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:42.127745 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:42.127745 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:42.248825 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:42.248825 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:42.249325 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:42.249325 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:42.365903 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:42.365903 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:42.366404 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:42.366404 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:42.481479 raft.go:501: Nodo 0 tiene hasta la entrada -1
Nodo_2 13:14:42.481479 raft.go:501: Nodo 1 tiene hasta la entrada -1
Nodo_2 13:14:42.481979 raft.go:501: Nodo 0 tiene hasta la entrada -1
